DATE,TIME,SOC,RSOC,CURRENT_NOW,VOLTAGE_NOW,CP_VBAT,IC_V,CP_VBUS,CP-IBUS,VBUS_VOLTAGE(uV),TEMP,BOARD_TEMP,Thermal_TEMP,Thermal_point,STATUS,TYPE,FFC_VOLTAGE_MAX,FFC_CHG,Charger_Full,M_CP,S_CP,CP_CURRENT,SOH,AverageCurrent,QMAX,RM,TRUE_RM,FCC,TRUE_FCC,CYCLE,CURR_MAX,VOLT_MAX,CHARGER_MDOE
Wed Jan 19 21:18:41 CST 2022,0,1,2,-48.000,3.565,3.565,3.565,4.916,3,4900,29.4,36.5,35.6,8,Charging,USB,4.4,0,4796,0,0,6,97,-48000,4963,60,51,4796,4815,12,12.200,4.450,1.378
Wed Jan 19 21:18:42 CST 2022,1,1,2,-48.000,3.565,3.565,3.565,4.916,3,4900,29.4,36.5,35.5,8,Charging,USB,4.4,0,4796,0,0,6,97,-125000,4963,60,51,4796,4815,12,12.200,4.450,1.378
Wed Jan 19 21:18:43 CST 2022,2,1,2,-125.000,3.561,3.561,3.561,4.916,3,4900,29.5,36.5,35.5,8,Charging,USB,4.4,0,4796,0,0,6,97,-125000,4963,60,51,4796,4815,12,12.200,4.450,1.380
Wed Jan 19 21:18:43 CST 2022,2,1,2,-224.000,3.560,3.560,3.560,4.912,4,4900,29.5,36.5,35.6,8,Charging,USB,4.4,0,4796,0,0,6,97,-224000,4963,60,51,4796,4815,12,12.200,4.450,1.379
Wed Jan 19 21:18:44 CST 2022,3,1,2,-224.000,3.560,3.552,3.552,4.912,3,4900,29.4,36.5,35.8,8,Charging,USB,4.4,0,4796,0,0,6,97,-396000,4963,60,50,4796,4815,12,12.200,4.450,1.382
Wed Jan 19 21:18:45 CST 2022,4,1,2,-396.000,3.552,3.552,3.552,4.916,3,4900,29.4,36.5,36.0,8,Charging,USB,4.4,0,4796,0,0,7,97,-396000,4963,60,50,4796,4815,12,12.200,4.450,1.384
Wed Jan 19 21:18:45 CST 2022,4,1,2,-333.000,3.555,3.555,3.555,4.912,3,4900,29.4,36.5,36.0,8,Charging,USB,4.4,0,4796,0,0,6,97,-333000,4963,60,50,4796,4815,12,12.200,4.450,1.381
Wed Jan 19 21:18:46 CST 2022,5,1,2,-333.000,3.565,3.565,3.565,4.916,3,4900,29.4,35.9,35.8,8,Charging,USB,4.4,0,4796,0,0,6,97,73000,5000,60,50,4796,4815,12,12.200,4.450,1.378
Wed Jan 19 21:18:47 CST 2022,6,1,2,73.000,3.565,3.565,3.565,4.938,3,4900,29.4,35.9,35.5,8,Charging,USB,4.4,0,4796,0,0,6,97,136000,4963,60,50,4796,4827,12,12.200,4.450,1.385
Wed Jan 19 21:18:48 CST 2022,7,1,2,136.000,3.563,3.563,3.563,4.938,3,4900,29.5,35.9,35.2,8,Charging,Unknown,4.4,0,4796,0,0,6,97,136000,4963,60,52,4796,4827,12,12.200,4.450,1.385
