DATE,TIME,SOC,RSOC,CURRENT_NOW,VOLTAGE_NOW,CP_VBAT,IC_V,CP_VBUS,CP-IBUS,VBUS_VOLTAGE(uV),TEMP,BOARD_TEMP,Thermal_TEMP,Thermal_point,STATUS,TYPE,FFC_VOLTAGE_MAX,FFC_CHG,Charger_Full,M_CP,S_CP,CP_CURRENT,SOH,AverageCurrent,QMAX,RM,TRUE_RM,FCC,TRUE_FCC,CYCLE,CURR_MAX,VOLT_MAX,CHARGER_MDOE
Wed Jan 19 18:22:09 CST 2022,1,1,1,332.000,3.572,3.572,3.572,4.931,3,4900,29.1,31.2,31.1,0,Charging,USB,4.4,0,4828,0,0,4,97,332000,4978,43,50,4828,4835,3,12.200,4.450,1.380
Wed Jan 19 18:22:10 CST 2022,2,1,1,332.000,3.572,3.572,3.572,4.927,3,4900,29.1,31.2,31.1,0,Charging,USB,4.4,0,4828,0,0,4,97,277000,4978,43,50,4828,4835,3,12.200,4.450,1.379
Wed Jan 19 18:22:11 CST 2022,3,1,1,277.000,3.569,3.569,3.569,4.931,1,4900,29.1,31.2,31.2,0,Charging,USB,4.4,0,4828,0,0,6,97,277000,4978,43,50,4828,4835,3,12.200,4.450,1.381
Wed Jan 19 18:22:12 CST 2022,4,1,1,270.000,3.571,3.571,3.571,4.931,3,4900,29.1,31.2,31.2,0,Charging,USB,4.4,0,4828,0,0,4,97,270000,4978,44,50,4828,4835,3,12.200,4.450,1.380
Wed Jan 19 18:22:12 CST 2022,4,1,1,318.000,3.567,3.567,3.567,4.908,3,4900,29.1,31.2,31.3,0,Charging,USB,4.4,0,4828,0,0,4,97,318000,4978,44,50,4828,4835,3,12.200,4.450,1.375
Wed Jan 19 18:22:13 CST 2022,5,1,1,420.000,3.570,3.570,3.570,4.908,1,4900,29.1,31.2,31.2,0,Charging,USB,4.4,0,4828,0,0,4,97,420000,4978,44,50,4828,4835,3,12.200,4.450,1.374
Wed Jan 19 18:22:14 CST 2022,6,1,1,420.000,3.570,3.577,3.577,4.905,3,4900,29.0,31.1,31.1,0,Charging,USB,4.4,0,4828,0,0,4,97,467000,4978,44,50,4828,4835,3,12.200,4.450,1.371
Wed Jan 19 18:22:15 CST 2022,7,1,1,467.000,3.577,3.577,3.577,.832,3,2600,29.0,31.1,31.0,0,Charging,Unknown,4.4,0,4828,0,0,4,97,142000,4978,44,50,4828,4835,3,12.200,4.450,.232
Wed Jan 19 18:22:16 CST 2022,8,1,1,142.000,3.576,3.576,3.576,.153,3,2600,29.0,31.1,31.2,0,Charging,Unknown,4.4,0,4828,0,0,6,97,142000,4978,44,50,4828,4835,3,12.200,4.450,.042
Wed Jan 19 18:22:17 CST 2022,9,1,1,-482.000,3.550,3.550,3.550,.153,3,2600,29.0,31.1,31.3,0,Discharging,Unknown,4.4,0,4828,0,0,6,97,-482000,4978,44,50,4828,4835,3,12.200,4.450,.043
Wed Jan 19 18:22:18 CST 2022,10,1,1,-369.000,3.551,3.551,3.551,.153,3,5000,29.0,31.1,31.6,0,Charging,USB,4.4,0,4828,0,0,6,97,-29000,4978,44,50,4828,4835,3,12.200,4.450,.043
Wed Jan 19 18:22:19 CST 2022,11,1,1,-29.000,3.555,3.555,3.555,4.901,1,5000,29.0,31.1,31.7,0,Charging,USB,4.4,0,4828,0,0,4,97,-29000,4978,44,50,4828,4835,3,12.200,4.450,1.378
Wed Jan 19 18:22:19 CST 2022,11,1,1,190.000,3.567,3.567,3.567,4.927,1,4900,29.0,31.1,31.6,0,Charging,USB,4.4,0,4828,0,0,6,97,190000,4978,44,50,4828,4835,3,12.200,4.450,1.381
Wed Jan 19 18:22:20 CST 2022,12,1,1,190.000,3.567,3.567,3.567,4.923,3,4900,29.0,31.1,31.6,0,Charging,USB,4.4,0,4828,0,0,4,97,208000,4978,44,50,4828,4835,3,12.200,4.450,1.380
Wed Jan 19 18:22:21 CST 2022,13,1,1,208.000,3.568,3.568,3.568,4.927,3,4900,29.0,31.1,31.6,0,Charging,USB,4.4,0,4828,0,0,4,97,208000,4978,44,50,4828,4835,3,12.200,4.450,1.380
Wed Jan 19 18:22:22 CST 2022,14,1,1,186.000,3.569,3.569,3.569,4.931,3,4900,29.0,31.1,31.6,0,Charging,USB,4.4,0,4828,0,0,6,97,186000,4978,44,50,4828,4835,3,12.200,4.450,1.381
