DATE,TIME,SOC,RSOC,CURRENT_NOW,VOLTAGE_NOW,CP_VBAT,IC_V,CP_VBUS,CP-IBUS,VBUS_VOLTAGE(uV),TEMP,BOARD_TEMP,Thermal_TEMP,Thermal_point,STATUS,TYPE,FFC_VOLTAGE_MAX,FFC_CHG,Charger_Full,M_CP,S_CP,CP_CURRENT,SOH,AverageCurrent,QMAX,RM,TRUE_RM,FCC,TRUE_FCC,CYCLE,CURR_MAX,VOLT_MAX,CHARGER_MDOE
Wed Jan 19 21:03:55 CST 2022,1,1,2,433.000,3.573,3.573,3.573,4.832,58,4800,28.0,28.6,28.6,0,Charging,USB,4.4,0,4684,0,0,116,95,433000,5009,57,57,4684,4646,11,12.200,4.450,1.352
Wed Jan 19 21:03:56 CST 2022,2,1,2,437.000,3.575,3.575,3.575,4.848,58,4800,28.0,28.6,28.5,0,Charging,USB,4.4,0,4684,0,0,116,95,437000,5009,57,57,4684,4646,11,12.200,4.450,1.356
Wed Jan 19 21:03:57 CST 2022,3,1,2,455.000,3.575,3.575,3.575,4.832,58,4800,28.0,28.6,28.4,0,Charging,USB,4.4,0,4684,0,0,116,95,455000,5009,57,57,4684,4646,11,12.200,4.450,1.351
Wed Jan 19 21:03:58 CST 2022,4,1,2,455.000,3.576,3.576,3.576,4.848,58,4800,28.0,28.6,28.3,0,Charging,USB,4.4,0,4684,0,0,116,95,451000,5009,58,57,4684,4646,11,12.200,4.450,1.355
Wed Jan 19 21:03:59 CST 2022,5,1,2,451.000,3.576,3.576,3.576,4.832,58,4900,28.0,28.6,28.3,0,Charging,USB,4.4,0,4684,0,0,116,95,451000,5009,58,58,4684,4646,11,12.200,4.450,1.351
Wed Jan 19 21:04:00 CST 2022,6,1,2,451.000,3.576,3.576,3.576,4.864,58,4900,28.0,28.6,28.3,0,Charging,USB,4.4,0,4684,0,0,116,95,459000,5009,58,58,4684,4646,11,12.200,4.450,1.360
Wed Jan 19 21:04:01 CST 2022,7,1,2,459.000,3.577,3.577,3.577,4.864,58,4900,28.0,28.6,28.2,0,Charging,USB,4.4,0,4684,0,0,116,95,451000,5009,58,58,4684,4646,11,12.200,4.450,1.359
Wed Jan 19 21:04:02 CST 2022,8,1,2,451.000,3.576,3.576,3.576,4.864,58,4900,28.0,28.6,28.2,0,Charging,USB,4.4,0,4684,0,0,116,95,462000,5009,58,58,4684,4646,11,12.200,4.450,1.360
Wed Jan 19 21:04:03 CST 2022,9,1,2,462.000,3.577,3.577,3.577,4.832,58,4900,27.9,28.6,28.1,0,Charging,USB,4.4,0,4684,0,0,116,95,462000,5009,58,58,4684,4646,11,12.200,4.450,1.350
Wed Jan 19 21:04:03 CST 2022,9,1,2,451.000,3.577,3.577,3.577,4.848,58,4900,27.9,28.6,28.1,0,Charging,USB,4.4,0,4684,0,0,116,95,451000,5009,58,58,4684,4646,11,12.200,4.450,1.355
Wed Jan 19 21:04:04 CST 2022,10,1,2,451.000,3.578,3.578,3.578,4.848,58,4900,27.9,28.1,28.1,0,Charging,USB,4.4,0,4684,0,0,116,95,451000,5009,58,58,4684,4646,11,12.200,4.450,1.354
Wed Jan 19 21:04:05 CST 2022,11,1,2,455.000,3.579,3.579,3.579,4.848,58,4800,27.9,28.1,28.1,0,Charging,USB,4.4,0,4684,0,0,116,95,455000,5009,59,58,4684,4646,11,12.200,4.450,1.354
Wed Jan 19 21:04:06 CST 2022,12,1,2,466.000,3.579,3.579,3.579,4.848,58,4900,27.6,28.1,28.0,0,Charging,Unknown,4.4,0,4684,0,0,116,95,466000,5009,59,58,4684,4646,11,12.200,4.450,1.354
Wed Jan 19 21:04:07 CST 2022,13,1,2,18.000,3.579,3.579,3.579,2.368,58,2600,27.9,28.1,28.2,0,Charging,Unknown,4.4,0,4684,0,0,116,95,18000,5009,59,58,4684,4646,11,12.200,4.450,.661
Wed Jan 19 21:04:08 CST 2022,14,1,2,-543.000,3.540,3.540,3.540,2.368,58,2600,27.9,28.1,28.5,0,Discharging,Unknown,4.4,0,4684,0,0,116,95,-543000,5009,58,57,4684,4645,11,12.200,4.450,.668
Wed Jan 19 21:04:09 CST 2022,15,1,2,-543.000,3.540,3.540,3.540,2.368,58,2600,27.9,28.1,28.6,0,Discharging,Unknown,4.4,0,4684,0,0,116,95,-411000,5009,58,57,4684,4645,11,12.200,4.450,.668
Wed Jan 19 21:04:10 CST 2022,16,1,2,-411.000,3.541,3.541,3.541,4.944,58,2600,28.0,28.1,28.6,0,Charging,USB,4.4,0,4684,0,0,116,95,-246000,5009,58,57,4684,4645,11,12.200,4.450,1.396
Wed Jan 19 21:04:11 CST 2022,17,1,2,-246.000,3.547,3.547,3.547,4.928,58,5000,27.9,28.1,28.8,0,Charging,USB,4.4,0,4684,0,0,116,95,26000,5009,58,57,4684,4645,11,12.200,4.450,1.389
